region_id,scene_id,district,state,proposed_label,tags,model_evidence,native_input_sha256,model_run_id,priority,visible_area_m2,source_dates,source_date_seam,boundary_overlap_fraction,sampling_group,spatial_holdout_group,review_url,human_label,geometry_decision,reviewer,reviewed_at,review_status,feedback
C01.p01,C01,Fatehabad,Haryana,unburned-looking field,green; fine-texture; edge-clipped,Relatively uniform cover without an apparent char-like patch.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,2019,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p01,,,,,pending,
C01.p02,C01,Fatehabad,Haryana,unburned-looking field,green; parallel-lines; edge-clipped,Muted green cover has regular cultivation texture.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,4839,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p02,,,,,pending,
C01.p03,C01,Fatehabad,Haryana,unburned-looking field,green; linear-texture; broad-parcel,"Predominantly green cover with faint internal tracks, not coherent burn-like mottling.",3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,17474,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p03,,,,,pending,
C01.p04,C01,Fatehabad,Haryana,unburned-looking field,green; striped; faint-boundaries,Narrow cultivated region bounded by pale tracks and subtle divisions.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3145,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p04,,,,,pending,
C01.p05,C01,Fatehabad,Haryana,unburned-looking field,green; parallel-lines; tonal-variation,Regular green strips and small pale interruptions lack a coherent char-like appearance.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,5301,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p05,,,,,pending,
C01.p06,C01,Fatehabad,Haryana,unburned-looking field,green; striped; pale-speckles,Mostly continuous green cover with localized pale boundary features.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,7502,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p06,,,,,pending,
C01.p07,C01,Fatehabad,Haryana,unburned-looking field,yellow-green; textured; edge-clipped,Thin visible parcel fragment has light vegetated texture.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,569,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p07,,,,,pending,
C01.p08,C01,Fatehabad,Haryana,unburned-looking field,green; horizontal-lines; uniform-cover,Regular horizontal texture is visible without distinct burn-like patches.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3176,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p08,,,,,pending,
C01.p09,C01,Fatehabad,Haryana,unburned-looking field,pale-green; rough-texture; edge-clipped,"Light, densely textured cover differs from neighboring green fields but does not visibly establish burning.",3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,4334,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p09,,,,,pending,
C01.p10,C01,Fatehabad,Haryana,unburned-looking field,green; horizontal-lines; muted-tone,Green cover contains faint horizontal divisions without ash-like mottling.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3514,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p10,,,,,pending,
C01.p11,C01,Fatehabad,Haryana,unburned-looking field,green; linear-texture; edge-clipped,Predominantly uniform green parcel reaches the right image boundary.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3372,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p11,,,,,pending,
