case_id,student_candidate_id,latitude,longitude,student_class,student_confidence,student_reported_capture,current_center_capture,current_crop_dates,date_matches,independent_assessment,provisional_regions
"C01","sw_fatehabad_75p5813_29p5233_r32553_4","29.51361753183584","75.59049725532532","1","0.824","2022-09-29","2021-01-31","2021-01-31","false","not-a-field","47"
"C02","sw_fatehabad_75p3651_29p4945_r32553_0","29.489796941688205","75.36734819412231","1","0.745","2022-11-05","2022-11-05","2022-11-05","true","burned-looking","70"
"C03","sw_fatehabad_75p2642_29p2927_r32553_0","29.296242544763558","75.2639651298523","2","0.757","2023-09-09","2023-09-09","2023-09-09","true","uncertain","64"
"C04","sw_fatehabad_75p7255_29p5233_r32553_1","29.512403760361593","75.71696877479553","1","0.5","2022-09-29","2022-05-14","2022-05-09; 2022-05-14","false","uncertain","59"
"C05","sw_fatehabad_75p3651_29p5089_r32553_0","29.507875330650048","75.36078214645386","1","0.827","2022-11-05","2022-11-05","2022-11-05","true","uncertain","63"
"C06","sw_fatehabad_75p3651_29p5089_r32553_1","29.517585529307592","75.37447214126587","2","0.674","2022-11-05","2023-04-17","2022-11-05; 2023-04-17","false","uncertain","49"
"C07","sw_fatehabad_75p3507_29p5233_r32553_0","29.531925041669584","75.34775733947754","2","0.567","2022-11-05","2022-11-05","2022-11-05","true","uncertain","62"
"C08","sw_fatehabad_75p3651_29p4801_r32553_0","29.47425591322126","75.3770899772644","1","0.55","2022-11-05","2022-10-22","2022-10-22","false","uncertain","54"
"C09","sw_fatehabad_75p2498_29p2783_r32553_0","29.27928691927473","75.244460105896","2","0.619","2023-09-09","2023-09-09","2023-09-09","true","not-a-field","58"
"C10","sw_fatehabad_75p2498_29p3071_r32553_0","29.304073745894307","75.26086449623108","1","0.415","2023-09-09","2023-09-09","2023-09-09","true","not-a-field","65"
"C11","sw_fatehabad_75p2786_29p2639_r32553_2","29.266558994138947","75.2892529964447","1","0.477","2023-09-09","2023-09-09","2023-09-09","true","uncertain","56"
"C12","sw_fatehabad_75p5669_29p5233_r32553_1","29.51362686848307","75.56312799453735","2","0.718","2022-09-29","2021-04-29","2021-04-29","false","burned-looking","45"
"C13","sw_fatehabad_75p6678_29p5233_r32553_0","29.5131226882999","75.67357063293457","2","0.751","2022-09-29","2022-05-14","2022-05-14","false","burned-looking","69"
"C14","sw_fatehabad_75p7543_29p5233_r32553_0","29.53111289702977","75.76650381088257","1","0.741","2022-09-29","2022-05-09","2021-06-06; 2022-05-09; 2022-09-29","false","uncertain","47"
"C15","sw_fatehabad_75p7255_29p5233_r32553_0","29.511880900471873","75.72833061218262","2","0.838","2022-09-29","2022-05-14","2022-05-09; 2022-05-14","false","uncertain","70"
"C16","sw_fatehabad_75p5813_29p5233_r32553_2","29.512851923831665","75.57957530021667","2","0.69","2022-09-29","2021-04-29","2021-01-31; 2021-04-29","false","uncertain","48"
"C17","sw_fatehabad_75p5813_29p5233_r32553_10","29.51739880350317","75.5704128742218","2","0.676","2022-09-29","2021-04-29","2021-04-29","false","uncertain","43"
"C18","sw_fatehabad_75p7543_29p5233_r32553_1","29.519630154323963","75.75795292854309","1","0.629","2022-09-29","2022-05-09","2022-05-09; 2022-09-29","false","uncertain","64"
"C19","sw_fatehabad_75p7543_29p5233_r32553_3","29.51151676431036","75.75979828834534","2","0.629","2022-09-29","2022-05-14","2022-05-09; 2022-05-14","false","burned-looking","62"
